Hotel_Name,Location,Place,Population,Price,Discount,Rating,Air Conditioning,Minimum_Stay
Collection O Hotel Palm Tree,"Near Halasuru Metro Station, Ulsoor, Bangalore",Bangalore,13608000,2566,65% off,1271,YES,8
Super OYO Townhouse 385 Navya International Ramamurthy Nagar Near Phoenix Marketcity,"Near Rammamurthynagar Police Station, Bangalore",Bangalore,13608000,1274,67% off,2655,YES,10
Collection O Hotel Tiara Near Christ university,"Tavarekere Main Rd, Bangalore",Bangalore,13608000,1175,67% off,644,YES,10
Townhouse OAK SRK White Inn Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Koramangala, Bangalore",Bangalore,13608000,1427,65% off,1603,YES,2
OYO Sai Ram Residency,"Cubbonpet Main Road, Bangalore",Bangalore,13608000,1092,67% off,207,NO,9
Super OYO Nar Comforts Near Majestic & near KSR Railway station,"NAR Comforts,13, G.K temple street, opp. Vijayalaxmi theater, Chickpet, Bangalore",Bangalore,13608000,1338,64% off,1682,YES,4
Flagship Hotel Royal Comfort Near Cubbon Park,"Gandhinagar, Bangalore",Bangalore,13608000,1357,65% off,60,YES,8
Super OYO Capital O Choice Regal Suites Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar, Bangalore",Bangalore,13608000,1753,65% off,1337,YES,9
Capital O Champion Lotus Near Mantri Square Mall,"Near IIFT, Vijayanagar, Bangalore",Bangalore,13608000,1339,65% off,1342,YES,2
OYO Hotel Blue Inn,"Near Bilal masjid, Gurappanapalya, Bangalore",Bangalore,13608000,1351,67% off,1393,YES,2
OYO Hotel Silver House Near Mantri Square Mall,"Arghar Dasrahalli Near Madhu Hospital Opp Maharaja Tent House Reliance Smart Building Magadi Main Road, Bangalore",Bangalore,13608000,844,65% off,494,NO,2
Super OYO Flagship Vsv Avenue Hennur Near Sri Amruth Chithra Mandira," landmark Krishna Medical Store) Oposite Krishna Leela Grand Hotel, Bangalore",Bangalore,13608000,1264,65% off,299,YES,8
Super OYO  Design Oyo Townhouse OAK Clove Boutique Hotel Rajaji Nagar,"4th Block, Rajaji Nagar, Bangalore",Bangalore,13608000,3053,65% off,1360,YES,6
Collection O Hotel Palm Tree,"Near Halasuru Metro Station, Ulsoor, Bangalore",Bangalore,13608000,2566,65% off,1271,YES,7
OYO Townhouse 76427 Hotel Skyline Near Banashankari Metro Station,"B S K 2nd Stage, Bangalore",Bangalore,13608000,1406,65% off,352,YES,4
OYO Flagship HOTEL SKYSPACE Near Hare Krishna Hill,"Yeswantpur Near Railway Station, Bangalore",Bangalore,13608000,1140,65% off,358,YES,4
SPOT ON 810480 Canton Lodging And Boarding,"Karnataka, Bangalore",Bangalore,13608000,872,67% off,17,NO,6
Collection O Onyx International Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Karnatakanull, Bangalore",Bangalore,13608000,1334,67% off,332,YES,5
OYO Mn Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Madiwala,  South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, - 560034, India Bangalore.",Bangalore,13608000,1257,67% off,1061,YES,9
OYO Home Leva Homes Near Baiyappanahalli Metro Station,"Mahadevapura Zone, Bangalore",Bangalore,13608000,1236,65% off,1013,YES,4
Super OYO Capital O Chetana Inn,"Centrally Located, Near Shanti Niketan School, Kodigehalli, Bangalore",Bangalore,13608000,1352,64% off,1549,YES,9
Super OYO Capital O Choice Regal Suites Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar, Bangalore",Bangalore,13608000,1753,65% off,1337,YES,1
Super OYO Capital O Blooms Stay Inn Near Snow City,"Bangalore Urban, Bangalore",Bangalore,13608000,2063,65% off,663,YES,10
Super OYO Townhouse 273 Hosur Main Road Bommanahalli Near Gopalan Innovation Mall,"Near krishna Theature Bommanahalli, Hosur main road, Bangalore",Bangalore,13608000,2302,65% off,1983,YES,7
OYO Nra Residency Near Rajarajeshwari Nagar Metro Station,"Rajarajeshwari Nagar, Bangalore",Bangalore,13608000,759,68% off,416,NO,2
Super OYO Flagship Vsv Avenue Hennur Near Sri Amruth Chithra Mandira," landmark Krishna Medical Store) Oposite Krishna Leela Grand Hotel, Bangalore",Bangalore,13608000,1264,65% off,299,YES,6
Super OYO Capital O SS Suites Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,Above Vishal Mega mart,Bangalore,13608000,1513,67% off,1488,YES,7
Collection O Nandi Comforts,"Yeshwantpur, Bangalore",Bangalore,13608000,872,70% off,52,NO,6
Flagship Hotel Royal Comfort Near Cubbon Park,"Gandhinagar, Bangalore",Bangalore,13608000,1357,65% off,60,YES,9
Capital O Hotel Shanti Nivas Near Hare Krishna Hill,"Near Yeshwanthpur , Sri Raghavendra Layout, Bangalore",Bangalore,13608000,1159,65% off,807,YES,6
Capital O Prime Residency,"Near Perseverance HBR, Saint Thomas Town, Bangalore",Bangalore,13608000,1339,65% off,795,YES,10
Capital O Safari Rooms Near Snow City,"India Bangalore Karnatakaindia, Bangalore",Bangalore,13608000,1316,68% off,160,YES,5
Super OYO Capital O Chetana Clove,"Near Shanti Niketan School, Maruthinagar, Bangalore",Bangalore,13608000,1397,65% off,1653,YES,9
Super OYO Collection O 85404 Valleyton Park,"Near Manyata Tech Park,HBR Layout,Outer Ring Road,Bangalore",Bangalore,13608000,1261,68% off,593,YES,8
OYO Townhouse 76427 Hotel Skyline Near Banashankari Metro Station,"B S K 2nd Stage, Bangalore",Bangalore,13608000,1406,65% off,352,YES,6
OYO Flagship HOTEL SKYSPACE Near Hare Krishna Hill,"Yeswantpur Near Railway Station, Bangalore",Bangalore,13608000,1140,65% off,358,YES,10
SPOT ON Janapriya Lodge Near Hare Krishna Hill,"Bangalore Urban, Bangalore",Bangalore,13608000,781,67% off,372,NO,2
Santa Maria Near Indiranagar Metro Station,"Jeevan Bhima Nagar, Bangalore",Bangalore,13608000,1384,65% off,707,YES,10
Super OYO Townhouse 149 Siri Residency,"Bhuvaneswari Nagar, Bangalore",Bangalore,13608000,1716,64% off,887,YES,2
Super OYO Capital O High end Withinn Hotel Near Hare Krishna Hill,"Near NIAS, Mathikere Extension, Bangalore",Bangalore,13608000,1873,65% off,993,YES,1
Collection O Royal Elevar,"Dasarahalli, Bangalore",Bangalore,13608000,1018,65% off,630,NO,2
OYO Mn Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Madiwala,  South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, - 560034, India Bangalore.",Bangalore,13608000,1257,67% off,1061,YES,1
OYO The Royal International Hotel,"Near Robert Bosch Company, Mangammanapalya, Bangalore",Bangalore,13608000,1140,65% off,822,YES,7
SPOT ON 76191 Sahara Lodge,"Yeshwanthapura, Bangalore",Bangalore,13608000,670,68% off,353,NO,9
OYO Hotel Golden Arch Near Palace Ground,"Near Vijayanagar police station, MC Layout, Bangalore",Bangalore,13608000,1077,67% off,202,NO,3
Collection O Onyx International Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Karnatakanull, Bangalore",Bangalore,13608000,1334,67% off,332,YES,10
Collection O Hotel Supreme Suites Near Sri Amruth Chithra Mandira,"14/15 14 And 15 L V Complex Munireddy Layout Horamavu Banaswadi, Bangalore",Bangalore,13608000,1023,67% off,126,NO,4
Collection O Hotel Status Executive Room's,"Near Old Airport Road, Bangalore",Bangalore,13608000,1344,69% off,39,YES,7
Super OYO Collection O Ctc Gardenia Residency Near Lalbagh Botanical Garden,"Opp Urvashi Theatre, Bangalore",Bangalore,13608000,1921,65% off,318,YES,8
SPOT ON Srinivasa Boarding And Lodging Near Vijayanagar Metro Station,"Near N R Colony, Sajjepalya, Bangalore",Bangalore,13608000,670,67% off,432,NO,9
OYO Flagship 37297 N R Deluxe,"Near Prashant Hospital, Bangalore",Bangalore,13608000,649,85% off,59,NO,5
Capital O N R Comforts Near Nexus Mall Koramangala,"Koramangala, Bangalore",Bangalore,13608000,1095,64% off,178,NO,9
Capital O Royal Manyata,"Gate Number 4, Bangalore",Bangalore,13608000,1194,65% off,854,YES,2
Super OYO Townhouse 490 Indiranagar Extn,"Bangalore, Bangalore",Bangalore,13608000,1473,67% off,923,YES,8
Collection O Sln Suites,"Behind Baptist Hospital, Hebbal",Bangalore,13608000,1670,65% off,244,YES,5
Capital O Elite Stay Jp Nagar Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"6th Phase, Bangalore",Bangalore,13608000,1452,65% off,926,YES,6
Flagship Sai Vishram,"26/1 sheshadri Road  Anandrao Circle Gandhi Nagar, Bangalore",Bangalore,13608000,1061,65% off,38,NO,10
Super OYO Flagship Blooms Residency Near Baiyappanahalli Metro Station,"Bangalore East, Bangalore",Bangalore,13608000,1800,65% off,750,YES,6
OYO Royal Grand Residency Near Lalbagh Botanical Garden,"Bangalore Karnataka, Bangalore",Bangalore,13608000,1164,64% off,586,YES,7
OYO Flagship Varcity Plaza Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near Cross Road, Maruti Nagar, Bangalore",Bangalore,13608000,1272,75% off,588,YES,9
OYO 18544 Amm Residency,"Mavalli, Bengaluru",Bangalore,13608000,1191,67% off,2,YES,9
Townhouse 038 Global Wings Hotels Near Sri Amruth Chithra Mandira,"Kammanahalli, Bangalore",Bangalore,13608000,1517,65% off,675,YES,10
Flagship Gn Nelli Rooms Near CMR University,"Bengalore-43, Bangalore",Bangalore,13608000,1050,64% off,240,NO,3
Townhouse OAK Hotel Prime,"Near Karnataka Bank, Babusapalya Main Road, Bangalore",Bangalore,13608000,2061,65% off,917,YES,6
OYO Hotel Blue Inn,"Near Bilal masjid, Gurappanapalya, Bangalore",Bangalore,13608000,1351,67% off,1393,YES,3
OYO Hotel Fiesta Grand,"Near Mariyappa Road, Jayanagar Ward, Bangalore",Bangalore,13608000,1262,64% off,225,YES,2
Collection O Tierra Woods,"Bangalore , Bangalore",Bangalore,13608000,1628,65% off,102,YES,1
OYO Flagship 79381 DM Residency Near Goraguntepalya Metro Station,"Rajarajeshwari Nagar Zone, Bangalore",Bangalore,13608000,977,67% off,179,NO,8
OYO Flagship 811000 Atithi Comforts,"Yeshwantpur, Bangalore",Bangalore,13608000,981,67% off,6,NO,1
OYO Royal Inn Near Iskcon Temple Bangalore,"Near 14th Main Road, Rajaji Nagar, Bangalore",Bangalore,13608000,988,67% off,278,NO,3
OYO Flagship 810144 Sunder Nivas,"Yeshwantpur, Bangalore",Bangalore,13608000,911,67% off,28,NO,8
Super OYO Capital O King Suites -hennur Near D Mart,"East Zone, Bangalore",Bangalore,13608000,1293,65% off,164,YES,7
Super OYO Capital O Savi International Near Bengaluru Palace,"Near Mantri Square Mall, Sheshadripuram, Bangalore",Bangalore,13608000,2099,65% off,1044,YES,5
OYO Hotel Diva Residency Near Nayandahalli Metro Station,"Near Syndicate Bank, Gandhi Nagar, Banglore",Bangalore,13608000,1228,68% off,20,YES,5
OYO Home Exotic Stay Bsk 3rd Stage,"Katriguppe, Bangalore",Bangalore,13608000,1282,64% off,568,YES,8
Flagship Pride Inn,"14 Cross Hosur Main Road, Bangalore",Bangalore,13608000,1289,64% off,373,YES,6
OYO Hotel Turista,"Near Central Silk board, BTM Layout, Bangalore",Bangalore,13608000,910,67% off,1086,NO,7
Super OYO Flagship Majestic Near Lalbagh Botanical Garden,"Near Majestic Railway Station, Akkipete, Bangalore",Bangalore,13608000,1509,65% off,1158,YES,4
OYO Home Leva Homes Near Baiyappanahalli Metro Station,"Mahadevapura Zone, Bangalore",Bangalore,13608000,1236,65% off,1013,YES,6
Capital O Gn Suites Near OM SHAKTHI TEMPLE,"Near Sub Registrar Office, Banaswadi, Bangalore",Bangalore,13608000,1734,65% off,771,YES,4
OYO Townhouse 093 Ramamurthy Nagar Near Baiyappanahalli Metro Station,"Near Ramamurthy Nagar Signal, Bangalore,Karnataka",Bangalore,13608000,1901,65% off,769,YES,3
Collection O 812451 The Grand Budget Hotel,"Karnataka , Bangalore",Bangalore,13608000,1536,67% off,93,YES,1
Flagship My Own Nest Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near Srinivasa Temple, Bangalore",Bangalore,13608000,1342,65% off,223,YES,2
OYO Flagship 5590 Ujwal Residency,"Near Indian Oil Petrol Bunk, Divanarapalya, Bangalore",Bangalore,13608000,1179,67% off,20,YES,5
OYO Flagship 810304 New Pavithra Paradise,"No 462 3rd Phase 3rd Block Havanur Circle Basaveshwaranagar Bangalore, Bangalore",Bangalore,13608000,1071,64% off,278,NO,3
OYO Sri Sai Guru Comforts,"Near Kodigihalli Gate, Byatarayanapura, Bangalore",Bangalore,13608000,1159,65% off,75,YES,9
Flagship Elite Stay Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Jp Nagar, Bangalore",Bangalore,13608000,1392,65% off,14,YES,4
SPOT ON 810681 Vasavi Residency,"Bangalor, Bangalore",Bangalore,13608000,725,70% off,27,NO,1
OYO Flagship 810484 Royal Galaxy Lodge,"05th road cross Iblur bus stop. opposite Colombia asia hospital.sarjapur outer ring road. , Bangalore",Bangalore,13608000,743,72% off,661,NO,4
Capital O 70991 Prime Square ,"Centrally Located, Near Kalyan Nagar Bus Stand, 1st stage, Bangalore",Bangalore,13608000,1377,65% off,231,YES,2
OYO Royal Residency Near Hare Krishna Hill,"Near Taj Yeshwantpur, M S K Nagar, Bangalore",Bangalore,13608000,1088,65% off,254,NO,4
OYO 8501 ABHIMAANI COMFORTS,Kanakpura main road metro pillar number 45 nearby Banashankari metro station JP Nagar,Bangalore,13608000,1403,65% off,271,YES,2
Flagship S M Residency Near Mysore Road Metro Station,"Nagarbhavi, Bangalore", Bangalore,13608000,1276,64% off,14,YES,3
Flagship Sree Nandanam Residency,"Bengaluru, Bangalore", Bangalore,13608000,1014,67% off,837,NO,9
OYO Townhouse 076 Hebbal,"Dasarahalli, Bangalore", Bangalore,13608000,1950,65% off,514,YES,9
Super OYO Exotica Hotels Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near Jayadeva Flyover, BTM Layout, Bangalore",Bangalore,13608000,1876,64% off,126,YES,1
OYO Flagship V R Residency Near Sri Amruth Chithra Mandira,"Centrally Located, Near 4th block, HBR Layout, Bangalore",Bangalore,13608000,1398,65% off,96,YES,3
Collection O 62387 Emara Grand Hotel,"H S R Layout, Bangalore",Bangalore,13608000,2489,65% off,8,YES,1
OYO Flagship 80878H Century Gardens,"Bengaluru, Bangalore",Bangalore,13608000,1412,65% off,203,YES,5
Hotel Telehaus International Near Lalbagh Botanical Garden,"Near Karnataka Bank, Shanti Nagar, Bangalore",Bangalore,13608000,2099,65% off,99,YES,7
OYO Townhouse 078 DODDA BANASWADI,"Near Udupi Upachar, Lakshmamma Layout, Bangalore",Bangalore,13608000,2082,65% off,287,YES,4
Flagship Hotel Amster Inn,"Near Mysore RD. Metro Station, FCI Layout, Bangalore",Bangalore,13608000,1500,65% off,1,YES,4
Collection O 812391 Sri Skanda Inn,"Venugopal Reddy Layout, Bangalore",Bangalore,13608000,1384,67% off,4,YES,4
Collection O B Six Hotel,"Kalasipalyam Main Road, Bangalore",Bangalore,13608000,2392,65% off,159,YES,10
OYO Flagship 810923 Hotel Shiva International,"Bangalore, Bangalore",Bangalore,13608000,1286,68% off,13,YES,4
Collection O Fortune Rooms,"Karnataka , Bangalore",Bangalore,13608000,1538,65% off,14,YES,6
Collection O Ira International Boutique Hotel,"India, Bangalore",Bangalore,13608000,2211,65% off,7,YES,6
OYO Flagship 81138 Gm royals,"Karnataka, Bangalore",Bangalore,13608000,643,69% off,13,NO,1
Collection O Metro O Comforts,"JP Nagar Metro Station, JP Nagar, Bangalore",Bangalore,13608000,1566,65% off,23,YES,6
OYO Flagship 810805  My Own Nest II Ramamurthy Nagar,"Devki Apparao Layout, Bangalore",Bangalore,13608000,1442,67% off,90,YES,8
Palette - Hotel Metro View Inn,"India, Bangalore",Bangalore,13608000,2601,47% off,9,YES,4
OYO Flagship 69693 The Royal Park ,"Near OYE Amritsar, New Tippasandra, Banglore",Bangalore,13608000,2339,65% off,1,YES,7
OYO Flagship 44601 Cloud Stay,"Near Sai Baba Temple, Kudlu Gate, Bangalore",Bangalore,13608000,1773,65% off,417,YES,1
Collection O 809961 New Royal Serenity Inn,"India , Bangalore",Bangalore,13608000,1772,65% off,1248,YES,4
Super OYO Flagship Archana Inn Near Lalbagh Botanical Garden,"Near Minerva Circle, JC Road, Bangalore",Bangalore,13608000,1189,65% off,137,YES,2
Collection O Premium Eden Au Lac Near Sri Someshwara Swami Temple,"Near Indiranagar Police Station, Indiranagar, Bangalore",Bangalore,13608000,1953,64% off,200,YES,3
OYO Flagship 92604 Sp Residency Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Btm 2nd Stagenull, Bangalore",Bangalore,13608000,890,73% off,185,NO,10
OYO Flagship NR Residency Near Nexus Mall Koramangala,"Near Teacher's colony Park, Jakkasandra, Bangalore",Bangalore,13608000,1050,76% off,249,NO,8
OYO Flagship 7558 Galaxy Inn,"Shivaji Nagar, Bangalore",Bangalore,13608000,1781,65% off,63,YES,3
OYO Nr Royal Near Nexus Mall Koramangala,"Sector 6, HSR Layout Ward, Bommanahalli Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka",Bangalore,13608000,1272,65% off,1273,YES,10
OYO Flagship 13043 SREE SAI SUITES,"Near SBI Bank, RT Nagar Main Road, Bangalore",Bangalore,13608000,1672,65% off,2372,YES,3
Super OYO Flagship Olivia Comforts Near Nexus Mall Koramangala,"Near Eat Street, Kormangala, Bangalore",Bangalore,13608000,2717,67% off,4151,YES,4
Super OYO Collection O Compact Green View Near Nexus Mall Koramangala,"Near Ejipura Bus stand, Ashwini Layout, Bangalore",Bangalore,13608000,598,71% off,1101,NO,1
Super OYO Flagship Varcity Phi Premium Pavilion Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"B T M Layout, Bangalore",Bangalore,13608000,1361,64% off,1995,YES,6
Flagship White Fort Near Lalbagh Botanical Garden,"Dispensary Rd, Kalasipalya,Bangalore",Bangalore,13608000,572,68% off,1762,NO,5
Capital O Elegant Amethyst Business Hotel Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"5th Block, Jayanagar, Bangalore",Bangalore,13608000,576,72% off,1434,NO,2
Super OYO Hotel Subha Residency Near Cubbon Park,"Majestic, Bangalore",Bangalore,13608000,677,75% off,431,NO,3
Capital O Victorian Comforts Near Sri Someshwara Swami Temple,"Near Adams Creation, Victoria Layout, Bangalore",Bangalore,13608000,581,75% off,165,NO,6
Flagship Hotel Gurudev Residency Near Cubbon Park,"Gandhi Nagar, Bangalore",Bangalore,13608000,1519,65% off,1004,YES,5
SPOT ON Hotel Sri Thirumala Lodge,"Opp BHEL, Bangalore",Bangalore,13608000,960,67% off,888,NO,6
Collection O Naidu Palace Near Iskcon Temple Bangalore,"Near Dhobi Ghat junction, Rajajinagar, Bangalore",Bangalore,13608000,1066,67% off,103,NO,4
Super OYO Townhouse 258 Spruce Hotels Bellandur,"Bellandur, Bangalore",Bangalore,13608000,819,67% off,129,NO,4
Collection O 808132 Status Suites,"Bangalore , Bangalore",Bangalore,13608000,768,67% off,798,NO,6
OYO Exotic Stay Bg Road,"Bangalore Urban, Bangalore",Bangalore,13608000,699,80% off,2919,NO,3
SPOT ON A Class Suites Near Hare Krishna Hill,"Bangalore Urban, Bangalore",Bangalore,13608000,599,76% off,943,NO,9
OYO Varcity Park Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near SV Hospitals, Madiwala, Bangalore",Bangalore,13608000,576,77% off,562,NO,8
Flagship Aayush Corporate Stays Near Nexus Mall Koramangala,"Near Maharaja Signal, Kormangala, Bangalore",Bangalore,13608000,576,67% off,709,NO,8
OYO Shree Mookambika Guest House Near Sri Someshwara Swami Temple,"Kormangla, Bangalore",Bangalore,13608000,549,72% off,1086,NO,10
OYO Corner Golf View Near Sri Someshwara Swami Temple,"Domlur, Bangalore",Bangalore,13608000,808,74% off,1320,NO,6
Home Shiva Shakthi Inn Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"J P Nagar, Bangalore",Bangalore,13608000,899,65% off,2881,NO,4
Super OYO Hotel Resida Elite Service Apartments Near Sri Someshwara Swami Temple,"Near Domlur Bridge, Indiranagar, Bangalore",Bangalore,13608000,1049,67% off,140,NO,8
Super OYO Townhouse 610 Derawal Nagar,"Near Vinayak Hoptiat, Gujranwala Town, Delhi",Delhi,32941000,2011,65% off,3508,YES,10
OYO Shubh Guest House,"C1/64 Main Sarvice Road Soniya Vihar 3 Rd Pusta, Delhi",Delhi,32941000,1002,65% off,337,NO,8
OYO Townhouse 868 Dream Connect Near TDI Mall,"Wz-3 Opp Pillor No 322 Moti Nagar Delhi, Delhi",Delhi,32941000,1282,64% off,61,YES,3
OYO Blue Diamond Near Jahangirpuri Metro Station,"Opp. Metro Pillar No. 102, Near Sai Baba Mandir, Adarsh Nagar, Delhi",Delhi,32941000,921,67% off,864,NO,6
Flagship Hotel Diamond Tree,"New Delhi, Delhi",Delhi,32941000,1252,65% off,848,YES,2
OYO The Chill Palace Near Haiderpur Metro Station,"North West Delhi, Delhi",Delhi,32941000,1552,67% off,4273,YES,10
Flagship The Mayur Hotel ,"Tri Nagar, Delhi",Delhi,32941000,1441,67% off,170,YES,7
OYO Hotel Landmark Inn,Near Karol Bagh Metro Station,Delhi,32941000,576,67% off,249,NO,4
Flagship Hotel Happy Moments,"Near Divine Hospital, Delhi",Delhi,32941000,759,67% off,735,NO,3
Collection O Radisson Blue Hotel Nearby Khajuri chowk-Signature Bridge,"Bhajanpura, Delhi",Delhi,32941000,643,69% off,427,NO,6
